Date,Open,High,Low,Close,Adj Close,Volume
2016-10-10,25.030001,25.035000,24.080000,24.590000,21.424835,17300
2016-10-17,24.420000,24.709999,24.410000,24.610001,21.442261,4200
2016-10-24,25.010000,25.010000,24.610001,24.700001,21.520676,10100
2016-10-31,24.650000,24.730000,24.020000,24.020000,20.928202,6600
2016-11-07,24.340000,24.750000,24.296000,24.440001,21.294142,12000
2016-11-14,24.139999,24.323000,23.840000,23.879999,20.806227,12700
2016-11-21,24.110001,24.110001,23.700001,23.809999,20.745234,12900
2016-11-28,23.740000,23.914000,23.600000,23.690001,20.640682,11200
2016-12-05,23.950001,25.180000,23.950001,25.039000,21.816040,37900
2016-12-12,25.000000,25.379999,24.910000,25.080000,21.851763,13100
2016-12-19,25.240000,25.240000,24.879999,24.921000,21.713228,18100
2016-12-26,24.790001,25.250000,24.770000,25.100000,22.151485,23800
2017-01-02,25.100000,25.549999,25.007999,25.450001,22.460373,23400
2017-01-09,25.309999,25.655001,25.219999,25.570000,22.566273,9100
2017-01-16,25.740000,25.920000,25.629999,25.870001,22.831036,27300
2017-01-23,25.811001,26.450001,25.770000,26.299999,23.210524,24200
2017-01-30,25.879999,26.299999,25.879999,26.025000,22.967827,14500
2017-02-06,25.879999,25.889000,25.600000,25.854000,22.816914,16800
2017-02-13,26.230000,26.230000,25.760000,25.990000,22.936939,18500
2017-02-20,26.100000,26.510000,25.900000,25.989000,22.936056,22000
2017-02-27,26.139999,26.540001,25.990000,26.509001,23.394970,8400
2017-03-06,26.580000,26.600000,26.200001,26.600000,23.475281,10100
2017-03-13,26.600000,27.110001,26.440001,27.031000,23.855652,14000
2017-03-20,26.900000,27.219999,26.750000,27.049999,23.872417,18800
2017-03-27,26.969999,27.365000,26.969999,27.330000,24.119528,16300
2017-04-03,27.350000,27.360001,26.853001,26.864000,23.708269,14100
2017-04-10,26.760000,26.868999,26.620001,26.620001,23.492929,7300
2017-04-17,26.809999,26.905001,26.598000,26.799999,23.651787,8200
2017-04-24,27.980000,28.316000,27.980000,28.080000,24.781425,14100
2017-05-01,28.680000,29.129999,28.230000,29.124001,25.702785,32200
2017-05-08,28.850000,28.969999,28.490999,28.830999,25.444202,16600
2017-05-15,28.920000,29.410999,28.690001,29.250000,25.813986,31600
2017-05-22,29.450001,29.540001,29.002001,29.111000,25.691313,16200
2017-05-29,29.450001,29.959999,29.087999,29.940001,26.422932,24800
2017-06-05,30.100000,30.100000,29.381001,29.580000,26.105219,31600
2017-06-12,29.510000,30.080000,29.167000,29.480000,26.016966,22500
2017-06-19,30.170000,30.170000,28.850000,28.870001,25.478626,50100
2017-06-26,29.260000,29.280001,28.600000,28.665001,25.775562,32400
2017-07-03,28.740000,28.799999,28.545000,28.770000,25.869980,18500
2017-07-10,28.770000,29.410000,28.740000,29.410000,26.445467,15600
2017-07-17,29.209999,29.490000,28.889999,28.940001,26.022844,24700
2017-07-24,28.900000,29.164000,28.740000,29.030001,26.103773,15600
2017-07-31,29.030001,29.430000,28.930000,29.350000,26.391518,40400
2017-08-07,29.330000,29.330000,28.530001,28.740000,25.843004,10500
2017-08-14,29.160000,29.240000,28.889999,28.969999,26.049818,44900
2017-08-21,29.000000,29.479000,28.889999,29.346001,26.387917,20800
2017-08-28,29.500000,29.500000,29.000000,29.273001,26.322277,24100
2017-09-04,29.469999,30.110001,29.205000,30.044001,27.015560,30500
2017-09-11,30.379999,30.490000,30.160000,30.349001,27.289816,19500
2017-09-18,30.520000,30.620001,30.410000,30.610001,27.524508,39300
2017-09-25,30.410000,30.799000,30.090000,30.721001,27.624319,39100
2017-10-02,30.740000,30.950001,30.669001,30.856001,27.745707,33000
2017-10-09,30.940001,31.330000,30.840000,31.170000,28.028059,18000
2017-10-16,31.469999,31.469999,30.990000,31.090000,27.956121,33500
2017-10-23,31.090000,31.348000,30.950001,31.080000,27.947130,29300
2017-10-30,31.260000,31.912001,31.209999,31.780001,28.576572,40200
2017-11-06,31.760000,31.780001,31.000000,31.058001,27.927347,26400
2017-11-13,30.840000,31.290001,30.670000,31.150000,28.010073,20300
2017-11-20,31.250000,31.680000,30.910999,31.680000,28.486650,193200
2017-11-27,31.430000,31.719999,31.051001,31.228001,28.080212,40300
2017-12-04,31.580000,31.580000,31.000000,31.459999,28.288826,28700
2017-12-11,31.469999,31.469999,31.142000,31.208000,28.062231,28600
2017-12-18,31.660000,31.940001,31.290001,31.417000,28.250162,22700
2017-12-25,31.510000,31.590000,31.340000,31.590000,28.405724,12600
2018-01-01,31.410000,32.599998,31.327000,32.596001,29.310318,45700
2018-01-08,32.750000,32.779999,32.160000,32.700001,29.403833,114300
2018-01-15,33.040001,33.450001,32.650002,33.450001,30.078234,24700
2018-01-22,33.570000,34.000000,33.341000,33.644001,30.252680,121100
2018-01-29,33.509998,33.528000,32.160000,32.160000,28.918266,58400
2018-02-05,32.000000,32.070000,29.670000,30.434000,27.366251,111700
2018-02-12,30.690001,31.549999,30.420000,31.549999,28.369755,47900
2018-02-19,31.230000,31.389999,30.889999,31.389999,28.225880,21800
2018-02-26,31.250000,31.420000,29.510000,30.070000,27.038939,114900
2018-03-05,30.139999,30.889999,29.915001,30.834999,27.726826,47400
2018-03-12,30.879999,31.030001,30.620001,30.809999,27.704346,11300
2018-03-19,30.719999,30.719999,29.540001,29.549999,26.571354,33600
2018-03-26,29.879999,30.240000,29.671000,30.240000,27.191803,27000
2018-04-02,30.260000,30.510000,29.469999,30.309999,27.254745,22100
2018-04-09,30.680000,31.049999,30.680000,31.049999,27.920155,10500
2018-04-16,31.080000,31.620001,31.080000,31.120001,27.983099,14500
2018-04-23,31.200001,31.200001,30.430000,30.940001,27.821241,11600
2018-04-30,30.780001,31.084000,30.410000,31.020000,27.893181,32700
2018-05-07,31.150000,31.429001,30.910000,31.340000,28.180923,8500
2018-05-14,31.356001,31.438999,30.871000,31.020000,27.893181,17100
2018-05-21,31.349001,31.400000,30.360001,30.430000,27.362652,18100
2018-05-28,29.850000,30.219999,29.410000,30.000000,26.975994,28600
2018-06-04,30.120001,30.594999,30.120001,30.420000,27.353661,17200
2018-06-11,30.370001,30.850000,30.360001,30.549999,27.470554,53900
2018-06-18,29.990000,30.110001,29.000000,29.360001,26.400507,21100
2018-06-25,28.959999,28.959999,28.070999,28.709999,26.122181,19100
2018-07-02,28.320000,29.250000,28.320000,29.219999,26.586210,14900
2018-07-09,29.370001,29.600000,28.920000,29.090000,26.467930,26200
2018-07-16,29.309999,29.680000,29.209999,29.370001,26.722691,25300
2018-07-23,29.270000,30.000000,29.240000,29.809999,27.123028,13500
2018-07-30,29.947001,29.950001,29.062000,29.200001,26.568016,15500
2018-08-06,29.010000,29.440001,28.200001,28.200001,25.658152,8700
2018-08-13,28.180000,28.299999,27.459999,28.059999,25.530769,19400
2018-08-20,28.190001,28.830000,28.190001,28.782000,26.187693,7100
2018-08-27,28.969999,29.379999,28.450001,28.450001,25.885620,16900
2018-09-03,28.240000,28.273001,27.500000,27.570000,25.084938,6900
2018-09-10,27.844999,28.360001,27.559999,28.180000,25.639954,20800
2018-09-17,28.219999,29.118000,28.129999,29.118000,26.493406,9500
2018-09-24,29.120001,29.120001,28.219999,28.490000,25.922010,13900
2018-10-01,28.650000,28.650000,27.740000,27.760000,25.257811,10100
2018-10-08,27.360001,27.510000,26.490000,26.490000,24.102282,10000
2018-10-15,26.850000,27.250000,26.350000,26.575001,24.179623,6400
2018-10-22,26.510000,26.510000,25.160000,25.615000,23.306154,9200
2018-10-29,25.840000,26.568001,25.500000,26.568001,24.173254,13700
2018-11-05,26.299999,26.600000,26.000000,26.100000,23.747435,11500
2018-11-12,25.780001,26.010000,25.396999,25.881001,23.548178,7300
2018-11-19,25.809999,25.809999,25.110001,25.299999,23.019545,14500
2018-11-26,25.670000,25.841000,25.459999,25.540001,23.237915,11900
2018-12-03,26.090000,26.090000,24.444000,24.444000,22.240704,20200
2018-12-10,24.299999,24.927999,24.190001,24.552999,22.339878,43300
2018-12-17,24.340000,24.780001,23.980000,24.000000,21.836725,33600
2018-12-24,23.650000,23.889999,23.410000,23.530001,21.409086,20700
2018-12-31,24.000000,24.188000,23.209999,24.188000,22.421276,18800
2019-01-07,24.180000,24.730000,24.042000,24.389999,22.608521,21900
2019-01-14,24.230000,24.980000,24.180000,24.979000,23.154495,6900
2019-01-21,24.700001,25.230000,24.309999,25.160000,23.322275,17700
2019-01-28,25.170000,25.170000,24.830000,25.042000,23.212896,11500
2019-02-04,24.879999,25.400000,24.190001,24.339001,22.561247,19700
2019-02-11,24.240000,25.000000,24.190001,25.000000,23.173962,9100
2019-02-18,24.879999,25.434999,24.879999,25.290001,23.442781,5800
2019-02-25,25.290001,25.952999,25.000000,25.872999,23.983196,6500
2019-03-04,25.910000,25.910000,25.191000,25.191000,23.351013,11800
2019-03-11,25.340000,25.910000,25.330999,25.907000,24.014715,11400
2019-03-18,25.959999,26.250000,25.120001,25.120001,23.285196,7400
2019-03-25,25.200001,25.389999,25.039000,25.389999,23.535477,53800
2019-04-01,25.709999,26.441999,25.645000,26.320000,24.397547,92300
2019-04-08,26.510000,26.658001,26.170000,26.600000,24.657099,9200
2019-04-15,26.570000,26.969999,26.542000,26.969999,25.000072,8900
2019-04-22,27.100000,27.100000,26.730000,26.969000,24.999147,47500
2019-04-29,26.959999,27.230000,26.868000,27.209999,25.222542,39600
2019-05-06,26.580000,26.929001,26.313000,26.639999,24.694176,13800
2019-05-13,26.080000,26.820000,26.059999,26.572001,24.631142,5200
2019-05-20,26.129999,26.445000,25.914000,26.054001,24.150980,10900
2019-05-27,26.166000,27.190001,25.374001,27.190001,25.204002,19200
2019-06-03,25.660000,26.600000,25.650000,26.540001,24.601480,26900
2019-06-10,26.610001,26.886999,26.358999,26.363001,24.437408,5800
2019-06-17,26.429001,27.260000,26.429001,27.150000,25.166924,10800
2019-06-24,27.233000,27.233000,26.450001,26.500000,24.564402,13300
2019-07-01,27.049999,27.202999,26.740000,26.740000,25.435797,7500
2019-07-08,26.790001,26.790001,26.344999,26.344999,25.060061,7800
2019-07-15,26.490000,26.601000,26.010000,26.270000,24.988720,10300
2019-07-22,26.209999,26.653000,26.129999,26.129999,24.855547,25900
2019-07-29,26.340000,26.410000,25.270000,25.528000,24.282911,11000
2019-08-05,24.820000,25.305000,24.622999,25.150000,23.923347,19000
2019-08-12,24.941999,25.059000,24.047001,24.370001,23.181391,10100
2019-08-19,24.760000,24.913000,24.546000,24.656000,23.453440,7500
2019-08-26,24.620001,25.228001,24.459999,25.219999,23.989931,19600
2019-09-02,24.889999,25.600000,24.750000,25.598000,24.349497,15700
2019-09-09,25.601999,26.280001,25.601999,26.280001,24.998234,5400
2019-09-16,26.059999,26.200001,25.950001,26.040001,24.769939,12400
